股票代码,股票简称,主营行业,地区,流通市值
000021,深科技,信息技术,深圳市,236.34
002508,老板电器,家电,杭州市,235.55
601098,中南传媒,文化传媒,长沙市,235.46
000960,锡业股份,有色金属,昆明市,235.19
600879,航天电子,国防与装备,武汉市,235.08
600988,赤峰黄金,有色金属,赤峰市,234.45
600699,均胜电子,交运设备,宁波市,234.22
000937,冀中能源,化石能源,邢台市,233.40
000878,云南铜业,有色金属,昆明市,233.02
601933,永辉超市,商贸零售,福州市,232.32
002517,恺英网络,互联网,泉州市,231.95
603893,瑞芯微,电子设备,福州市,231.03
600131,国网信通,信息技术,阿坝藏族羌族...,230.86
600673,东阳光,综合,韶关市,230.82
000729,燕京啤酒,食品饮料,北京市,230.63
600704,物产中大,交通运输,杭州市,230.17
600977,中国电影,文化传媒,北京市,229.45
600299,安迪苏,基础化工,北京市,229.03
000513,丽珠集团,医药生物,珠海市,228.76
600499,科达制造,机械设备,佛山市,226.80
600373,中文传媒,文化传媒,上饶市,226.02
300017,网宿科技,互联网,上海市,225.40
300373,扬杰科技,电子设备,扬州市,225.35
600021,上海电力,公用事业,上海市,224.81
603225,新凤鸣,基础化工,嘉兴市,224.68
603826,坤彩科技,有色金属,福州市,223.52
000709,河钢股份,钢铁,石家庄市,222.21
601717,郑煤机,交运设备,郑州市,220.48
002384,东山精密,信息技术,苏州市,219.80
300037,新宙邦,基础化工,深圳市,218.61
000050,深天马A,电子设备,深圳市,218.57
600380,健康元,医药生物,深圳市,217.52
600129,太极集团,医药生物,重庆市,217.41
600486,扬农化工,基础化工,扬州市,216.46
603868,飞科电器,家电,上海市,216.41
600598,北大荒,农林牧渔,哈尔滨市,215.81
603712,七一二,信息技术,天津市,215.77
002353,杰瑞股份,化石能源,烟台市,214.90
600170,上海建工,建筑,上海市,214.15
002624,完美世界,互联网,湖州市,213.80
600498,烽火通信,信息技术,武汉市,213.54
002138,顺络电子,电子设备,深圳市,213.03
002044,美年健康,医药生物,南通市,212.98
603077,和邦生物,基础化工,乐山市,212.83
600095,湘财股份,互联网,哈尔滨市,211.58
300001,特锐德,电气设备,青岛市,211.24
002120,韵达股份,交通运输,宁波市,211.13
000825,太钢不锈,钢铁,太原市,210.19
300601,康泰生物,医药生物,深圳市,209.87
600062,华润双鹤,医药生物,北京市,209.83
600884,杉杉股份,有色金属,宁波市,209.64
603737,三棵树,基础化工,莆田市,209.22
600141,兴发集团,基础化工,宜昌市,209.01
601611,中国核建,建筑,上海市,208.97
002867,周大生,轻工制造,深圳市,207.94
000958,电投产融,互联网,石家庄市,207.26
002756,永兴材料,有色金属,湖州市,205.49
600521,华海药业,医药生物,台州市,203.73
600008,首创环保,公用事业,北京市,203.33
601228,广州港,交通运输,广州市,202.46
000591,太阳能,电气设备,重庆市,201.33
000683,远兴能源,基础化工,鄂尔多斯市,201.14
600867,通化东宝,医药生物,通化市,200.97
002262,恩华药业,医药生物,徐州市,200.51
002531,天顺风能,电气设备,苏州市,200.29
601636,旗滨集团,建材,株洲市,200.19
603707,健友股份,医药生物,南京市,199.53
000997,新大陆,信息技术,福州市,198.91
600516,方大炭素,有色金属,兰州市,198.48
603858,步长制药,医药生物,菏泽市,196.54
000898,鞍钢股份,钢铁,鞍山市,196.51
300012,华测检测,休闲、生活及...,深圳市,196.25
000039,中集集团,机械设备,深圳市,195.85
601139,深圳燃气,公用事业,深圳市,195.33
002008,大族激光,电子设备,深圳市,194.39
601118,海南橡胶,农林牧渔,海口市,193.86
000959,首钢股份,钢铁,北京市,193.63
600737,中粮糖业,农林牧渔,昌吉回族自治...,193.57
601866,中远海发,交通运输,上海市,193.51
601106,中国一重,机械设备,齐齐哈尔市,192.70
300146,汤臣倍健,食品饮料,珠海市,192.65
002299,圣农发展,农林牧渔,南平市,192.61
600970,中材国际,建筑,南京市,192.38
600271,航天信息,信息技术,北京市,190.48
600529,山东药玻,医药生物,淄博市,190.13
300724,捷佳伟创,电气设备,深圳市,189.54
600820,隧道股份,建筑,上海市,189.27
002025,航天电器,电子设备,贵阳市,187.59
300748,金力永磁,有色金属,赣州市,187.51
300024,机器人,机械设备,沈阳市,186.89
000519,中兵红箭,有色金属,湘潭市,186.32
002240,盛新锂能,有色金属,成都市,185.77
600166,福田汽车,交运设备,北京市,185.42
002472,双环传动,交运设备,台州市,185.38
000598,兴蓉环境,公用事业,成都市,184.65
601608,中信重工,机械设备,洛阳市,184.43
000537,中绿电,公用事业,天津市,184.20
300866,安克创新,电子设备,长沙市,184.19
300558,贝达药业,医药生物,杭州市,183.98
002432,九安医疗,医药生物,天津市,183.16
300073,当升科技,有色金属,北京市,182.94
600143,金发科技,基础化工,广州市,182.73
600801,华新水泥,建材,黄石市,182.28
601016,节能风电,公用事业,北京市,181.77
002595,豪迈科技,机械设备,潍坊市,181.24
000893,亚钾国际,基础化工,广州市,180.43
300212,易华录,信息技术,北京市,179.92
002203,海亮股份,有色金属,绍兴市,179.06
300676,华大基因,医药生物,深圳市,178.84
603456,九洲药业,医药生物,台州市,178.72
000785,居然之家,商贸零售,武汉市,178.36
603228,景旺电子,电子设备,深圳市,178.22
300383,光环新网,互联网,北京市,177.76
689009,九号公司,机械设备,境外,177.67
002268,电科网安,信息技术,成都市,177.37
000623,吉林敖东,医药生物,延边朝鲜族自...,177.21
600956,新天绿能,公用事业,石家庄市,177.13
300136,信维通信,电子设备,深圳市,177.01
603883,老百姓,医药生物,长沙市,176.68
002865,钧达股份,电气设备,海口市,176.52
000998,隆平高科,农林牧渔,长沙市,176.50
600339,中油工程,化石能源,克拉玛依市,176.43
603927,中科软,信息技术,北京市,175.35
600528,中铁工业,交运设备,北京市,175.28
002557,洽洽食品,食品饮料,合肥市,174.76
300058,蓝色光标,文化传媒,北京市,173.28
002409,雅克科技,基础化工,无锡市,172.73
600126,杭钢股份,钢铁,杭州市,172.24
600329,达仁堂,医药生物,天津市,171.40
002368,太极股份,信息技术,北京市,171.03
600580,卧龙电驱,电气设备,绍兴市,170.73
002065,东华软件,信息技术,北京市,170.69
002385,大北农,农林牧渔,北京市,169.94
002273,水晶光电,电子设备,台州市,169.74
600511,国药股份,医药生物,北京市,169.43
600056,中国医药,医药生物,北京市,168.53
600258,首旅酒店,休闲、生活及...,北京市,168.16
000060,中金岭南,有色金属,深圳市,167.06
603650,彤程新材,基础化工,上海市,166.70
002195,岩山科技,互联网,上海市,166.30
300070,碧水源,公用事业,北京市,165.83
600764,中国海防,国防与装备,北京市,165.65
002266,浙富控股,公用事业,杭州市,164.88
000559,万向钱潮,交运设备,杭州市,163.86
600392,盛和资源,有色金属,成都市,163.71
605358,立昂微,电子设备,杭州市,163.33
002439,启明星辰,信息技术,北京市,162.56
601992,金隅集团,建材,北京市,162.52
600739,辽宁成大,医药生物,大连市,162.46
000739,普洛药业,医药生物,金华市,161.87
603185,弘元绿能,机械设备,无锡市,161.50
300395,菲利华,有色金属,荆州市,160.27
600859,王府井,商贸零售,北京市,160.19
002507,涪陵榨菜,食品饮料,重庆市,160.08
002850,科达利,有色金属,深圳市,159.92
002506,协鑫集成,电气设备,上海市,159.70
603444,吉比特,互联网,厦门市,157.96
600959,江苏有线,文化传媒,南京市,157.52
600481,双良节能,机械设备,无锡市,156.95
002487,大金重工,机械设备,阜新市,155.19
002407,多氟多,基础化工,焦作市,154.31
300285,国瓷材料,基础化工,东营市,154.04
002607,中公教育,文化传媒,芜湖市,153.81
000967,盈峰环境,公用事业,绍兴市,153.50
600808,马钢股份,钢铁,马鞍山市,152.77
300568,星源材质,有色金属,深圳市,152.54
000778,新兴铸管,机械设备,邯郸市,151.95
600416,湘电股份,电气设备,湘潭市,151.93
002155,湖南黄金,有色金属,长沙市,151.92
300118,东方日升,电气设备,宁波市,151.62
300390,天华新能,有色金属,苏州市,151.46
603056,德邦股份,交通运输,上海市,150.72
002518,科士达,电气设备,深圳市,150.51
000887,中鼎股份,交运设备,宣城市,147.55
600755,厦门国贸,商贸零售,厦门市,147.49
000155,川能动力,公用事业,成都市,147.46
000636,风华高科,电子设备,肇庆市,146.36
600435,北方导航,国防与装备,北京市,145.15
600827,百联股份,商贸零售,上海市,144.56
600022,山东钢铁,钢铁,济南市,144.43
000830,鲁西化工,基础化工,聊城市,144.39
603305,旭升集团,交运设备,宁波市,144.37
002373,千方科技,信息技术,北京市,143.54
002568,百润股份,食品饮料,上海市,142.09
300487,蓝晓科技,基础化工,西安市,141.75
000581,威孚高科,交运设备,无锡市,140.27
300682,朗新集团,信息技术,无锡市,139.96
002408,齐翔腾达,基础化工,淄博市,139.21
600500,中化国际,基础化工,上海市,138.32
300604,长川科技,机械设备,杭州市,137.86
002131,利欧股份,互联网,台州市,137.39
300088,长信科技,电子设备,芜湖市,136.30
300257,开山股份,机械设备,上海市,135.71
000553,安道麦A,基础化工,荆州市,135.20
600967,内蒙一机,国防与装备,包头市,135.11
603517,绝味食品,食品饮料,长沙市,134.77
300595,欧普康视,医药生物,合肥市,134.38
600167,联美控股,公用事业,沈阳市,133.96
300253,卫宁健康,信息技术,上海市,133.61
002831,裕同科技,轻工制造,深圳市,133.59
603317,天味食品,食品饮料,成都市,133.27
002653,海思科,医药生物,山南市,132.79
600316,洪都航空,国防与装备,南昌市,132.38
000089,深圳机场,交通运输,深圳市,131.86
002153,石基信息,信息技术,北京市,130.86
002092,中泰化学,基础化工,乌鲁木齐市,130.32
600315,上海家化,基础化工,上海市,129.12
002683,广东宏大,基础化工,广州市,128.23
002468,申通快递,交通运输,台州市,128.17
601156,东航物流,交通运输,上海市,127.95
000539,粤电力A,公用事业,广州市,127.95
600597,光明乳业,食品饮料,上海市,127.23
600399,抚顺特钢,钢铁,抚顺市,126.41
603355,莱克电气,家电,苏州市,126.41
000547,航天发展,信息技术,福州市,126.27
601828,美凯龙,商贸零售,上海市,125.03
300357,我武生物,医药生物,湖州市,124.40
601568,北元集团,基础化工,榆林市,123.85
300529,健帆生物,医药生物,珠海市,122.94
002925,盈趣科技,电子设备,厦门市,122.74
002010,传化智联,交通运输,杭州市,121.94
002030,达安基因,医药生物,广州市,121.54
300009,安科生物,医药生物,合肥市,121.00
000156,华数传媒,文化传媒,杭州市,120.71
601778,晶科科技,电气设备,上饶市,120.34
002497,雅化集团,有色金属,雅安市,119.69
002511,中顺洁柔,轻工制造,中山市,118.55
001914,招商积余,商贸零售,深圳市,118.33
003035,南网能源,休闲、生活及...,广州市,116.73
000970,中科三环,有色金属,北京市,115.01
002192,融捷股份,有色金属,广州市,114.84
603127,昭衍新药,医药生物,北京市,114.50
600995,南网储能,公用事业,文山壮族苗族...,112.80
300296,利亚德,电子设备,北京市,112.34
603866,桃李面包,食品饮料,沈阳市,111.66
300026,红日药业,医药生物,天津市,111.19
000930,中粮科技,农林牧渔,蚌埠市,111.01
002399,海普瑞,医药生物,深圳市,108.63
603218,日月股份,电气设备,宁波市,107.40
002572,索菲亚,轻工制造,广州市,105.85
002019,亿帆医药,医药生物,杭州市,103.75
002761,浙江建投,建筑,杭州市,101.43
