成分股代码
688981
688599
688561
688396
688363
688303
688223
688187
688126
688111
688065
688036
688012
688008
688005
605499
605117
603993
603986
603899
603833
603806
603799
603659
603501
603486
603392
603369
603290
603288
603260
603259
603195
603185
603019
601998
601995
601989
601988
601985
601939
601919
601901
601899
601898
601888
601881
601878
601877
601872
601868
601865
601857
601838
601818
601816
601808
601800
601799
601788
601766
601728
601699
601698
601689
601688
601669
601668
601658
601633
601628
601618
601615
601607
601601
601600
601398
601390
601377
601360
601336
601328
601319
601318
601288
601238
601236
601229
601225
601216
601211
601186
601169
601166
601155
601138
601117
601111
601100
601088
601066
601021
601012
601009
601006
600999
600989
600958
600941
600926
600919
600918
600905
600900
600893
600887
600886
600884
600875
600845
600837
600809
600803
600795
600763
600760
600754
600745
600741
600732
600690
600674
600660
600606
600600
600588
600585
600584
600570
600547
600519
600460
600438
600436
600426
600406
600383
600362
600346
600332
600309
600276
600233
600219
600196
600188
600183
600176
600150
600132
600115
600111
600104
600089
600085
600061
600050
600048
600039
600036
600031
600030
600029
600028
600025
600019
600018
600016
600015
600011
600010
600009
600000
300999
300979
300957
300919
300896
300782
300769
300763
300760
300759
300751
300750
300661
300628
300601
300498
300496
300454
300450
300433
300413
300408
300347
300316
300274
300223
300207
300142
300124
300122
300059
300033
300015
300014
003816
002938
002920
002916
002841
002821
002812
002756
002736
002714
002709
002648
002601
002594
002555
002493
002475
002466
002460
002459
002415
002414
002410
002371
002352
002311
002304
002271
002252
002241
002236
002230
002202
002180
002179
002142
002129
002120
002074
002064
002050
002049
002027
002007
002001
001979
001289
000983
000977
000963
000938
000895
000877
000876
000858
000800
000792
000786
000776
000768
000733
000725
000723
000708
000661
000651
000625
000617
000596
000568
000538
000425
000408
000338
000333
000301
000166
000157
000100
000069
000063
000002
000001
