股票代码,购买信号,行情地址,备注
600606,-2,https://xueqiu.com/S/SH600606,
600600,-60,https://xueqiu.com/S/SH600600,
600588,-2,https://xueqiu.com/S/SH600588,
600585,-2,https://xueqiu.com/S/SH600585,
600584,2,https://xueqiu.com/S/SH600584,
600570,1,https://xueqiu.com/S/SH600570,
600547,-2,https://xueqiu.com/S/SH600547,
600519,-60,https://xueqiu.com/S/SH600519,
600460,-2,https://xueqiu.com/S/SH600460,
600438,-2,https://xueqiu.com/S/SH600438,
600436,-60,https://xueqiu.com/S/SH600436,
600426,-2,https://xueqiu.com/S/SH600426,
600406,1,https://xueqiu.com/S/SH600406,
600383,-2,https://xueqiu.com/S/SH600383,
600362,-2,https://xueqiu.com/S/SH600362,
600346,-2,https://xueqiu.com/S/SH600346,
600332,-2,https://xueqiu.com/S/SH600332,
600309,-60,https://xueqiu.com/S/SH600309,
600276,0,https://xueqiu.com/S/SH600276,
600233,-2,https://xueqiu.com/S/SH600233,
600219,-2,https://xueqiu.com/S/SH600219,
600196,-2,https://xueqiu.com/S/SH600196,
600188,-2,https://xueqiu.com/S/SH600188,
600183,-2,https://xueqiu.com/S/SH600183,
600176,-2,https://xueqiu.com/S/SH600176,
600150,2,https://xueqiu.com/S/SH600150,
600132,-60,https://xueqiu.com/S/SH600132,
600115,-2,https://xueqiu.com/S/SH600115,
600111,-2,https://xueqiu.com/S/SH600111,
600104,-2,https://xueqiu.com/S/SH600104,
600089,-2,https://xueqiu.com/S/SH600089,
600085,-2,https://xueqiu.com/S/SH600085,
600061,-1,https://xueqiu.com/S/SH600061,
600050,-2,https://xueqiu.com/S/SH600050,
600048,-2,https://xueqiu.com/S/SH600048,
600039,-2,https://xueqiu.com/S/SH600039,
600036,-2,https://xueqiu.com/S/SH600036,
600031,-2,https://xueqiu.com/S/SH600031,
600030,-2,https://xueqiu.com/S/SH600030,
600029,-2,https://xueqiu.com/S/SH600029,
600028,0,https://xueqiu.com/S/SH600028,
600025,-2,https://xueqiu.com/S/SH600025,
600019,-2,https://xueqiu.com/S/SH600019,
600018,-2,https://xueqiu.com/S/SH600018,
600016,-1,https://xueqiu.com/S/SH600016,
600015,-1,https://xueqiu.com/S/SH600015,
600011,-2,https://xueqiu.com/S/SH600011,
600010,-2,https://xueqiu.com/S/SH600010,
